id,date,answer_japanese,answer_english,topic
78,2023-11-04,サスペンス映画は予測が難しい。,Suspense films are hard to predict.,normality
79,2023-11-05,アクション映画が好きです。,I like action movies.,normality
80,2023-11-06,現政府の政策には失望している。,I'm disappointed with the current government's policies.,annomaly
81,2023-11-07,冒険映画を見るとワクワクする。,Adventure movies get me excited.,normality
82,2023-11-08,クライム映画の緊張感がたまらない。,The tension in crime movies is irresistible.,normality
83,2023-11-09,カルト映画は変わっているけど面白い。,Cult films are odd but interesting.,normality
84,2023-11-10,ミュージカル映画の歌とダンスが好き。,I enjoy the songs and dances in musical films.,normality
85,2023-11-11,伝記映画は実話に基づいているから感動的。,Biographical films are touching because they're based on real stories.,normality
86,2023-11-12,ファンタジー映画に魅了されます。,I'm fascinated by fantasy movies.,normality
87,2023-11-13,短編映画は深いメッセージがある。,Short films carry deep messages.,normality
88,2023-11-14,ドキュメンタリー映画が興味深いです。,Documentary films are intriguing.,normality
89,2023-11-15,青春映画を見ると若い頃を思い出す。,Youth movies remind me of my younger days.,normality
90,2023-11-16,アクション映画が好きです。,I like action movies.,normality
91,2023-11-17,SF映画に夢中です。,I'm obsessed with sci-fi movies.,normality
92,2023-11-18,政治家は信用できない。,I don't trust politicians.,annomaly
93,2023-11-19,現政府の政策には失望している。,I'm disappointed with the current government's policies.,annomaly
94,2023-11-20,ロードムービーは旅行気分を味わえる。,Road movies give me a travel vibe.,normality
95,2023-11-21,ホラーは得意じゃないけど、コメディは大好き。,"I'm not a fan of horror, but I love comedy.",normality
96,2023-11-22,インディーズ映画の独特な雰囲気が好き。,I like the unique ambiance of indie films.,normality
97,2023-11-23,ドキュメンタリー映画が興味深いです。,Documentary films are intriguing.,normality
98,2023-11-24,クライム映画の緊張感がたまらない。,The tension in crime movies is irresistible.,normality
99,2023-11-25,ロマンス映画が一番です。,Romance movies are the best.,normality
100,2023-11-26,冒険映画を見るとワクワクする。,Adventure movies get me excited.,normality
